For_R	N_[ng/Zelle]	C_[ng/Zelle]
C1	0,75	5,47
C2	0,51	4,64
C3	0,53	3,49
C1	0,90	8,08
C2	1,01	9,38
C3	0,50	5,22
NH1	0,49	2,82
NH2	0,43	2,45
NH3	0,41	2,34
NH1	0,23	2,30
NH2	0,26	2,88
NH3	0,26	2,89
NO1	0,42	2,52
NO2	0,36	2,26
NO3	0,36	2,25
NO1	0,24	2,62
NO2	0,29	2,38
NO3	0,25	2,81
U1	0,38	3,41
U2	0,44	4,46
U3	0,47	4,83
