Growth_rate												
Day_100_200	0	1.81	3.92	5.83	7.88	9.75	11.92	12.96	14.83	18	20.875	22.875
Day_20	0	1.81	3.92	5.83	7.88	9.75	11.92	13.88	15.83	18	20.875	22.875
20_umol_A	100.25	83	104	123.5	115.5	152	162.5	161	254	450	550	1000
20_umol_B	97	84.5	113	131	134	148	150	123.5	289	494	676	1070
20_umol_C	97.5	89.5	113.5	144.5	138	161	133	108.5	325	530	904	1015
100_umol_A	86	100.5	205	365.5	662	1044	1470	1800	2560	3910	5180	4320
100_umol_B	94.5	88.5	185.5	374	590	984	1510	1930	3100	4420	5380	4660
100_umol_C	89.75	102	190	376.5	690	1022	1665	1890	2940	4720	5540	5600
200_umol_A	90.75	115	220.5	391	874	1304	1800	2395	3760	4990	4500	4480
200_umol_B	100.75	106	208.5	431	814	1166	2060	2440	3680	4930	5740	4900
200_umol_C	90	107	192.5	403	770	1254	1770	2435	3560	4890	5120	4620
												
GDA-Messung (pg/Zelle)												
Harvest	1	2	3	4								
20_umol_A	3.2											
20_umol_B	4.5											
20_umol_C	5.15											
100_umol_A	4.36	5.27	5.17	11.75								
100_umol_B	4.67	4.6	4.02	11.51								
100_umol_C	4.14	5.43	4.36	8.96								
200_umol_A	4.01	5.78	4.64	10.3								
200_umol_B	4.38	4.99	4.24	10.15								
200_umol_C	4.21	5.06	4.44	11.29								
												
Max_cell_density												
20	163											
100	5600											
200	5740											
